,genre
1149,hip hop tuga
1150,portuguese pop
1151,liquid funk
1152,harlem renaissance
1153,danish rock
1154,j-metal
1155,toronto indie
1156,greek drill
1157,australian house
1158,bronx hip hop
1159,psychedelic soul
1160,kirtan
1161,chillstep
1162,argentine alternative rock
1163,reggaeton chileno
1164,classic girl group
1165,spanish metal
1166,organic electronic
1167,classic danish pop
1168,canadian electropop
1169,liverpool indie
1170,british indie rock
1171,electro-pop francais
1172,wonky
1173,surf punk
1174,swedish death metal
1175,pet calming
1176,deep disco house
1177,grave wave
1178,scream rap
1179,a cappella
1180,idol rock
1181,polish classical
1182,swedish pop rap
1183,australian metalcore
1184,chicago punk
1185,russian dance pop
1186,german power metal
1187,alternative pop
1188,breakbeat
1189,classic norwegian pop
1190,folk punk
1191,funk viral
1192,barnmusik
1193,finnish power metal
1194,czech pop
1195,neoclassical darkwave
1196,vapor pop
1197,merengue
1198,indonesian pop punk
1199,pop folk
1200,sigilkore
1201,australian garage punk
1202,salsa venezolana
1203,bronx drill
1204,batidao romantico
1205,christian metal
1206,dark synthpop
1207,funk mandelao
1208,fourth world
1209,ye ye
1210,vietnamese hip hop
1211,tamaulipas rap
1212,brazilian jazz
1213,experimental rock
1214,hamburg electronic
1215,forro de favela
1216,instrumental funk
1217,rock brasiliense
1218,indonesian alternative rock
1219,ghanaian pop
1220,japanese classical
1221,hardstyle
1222,thai indie rock
1223,uk melodic rap
1224,italian pop rock
1225,musica tradicional cubana
1226,indian edm
1227,russian gangster rap
1228,austropop
1229,turkish deep house
1230,ottawa rap
1231,danish electronic
1232,rock kapak
1233,colombian rock
1234,russian drill
1235,welsh rock
1236,rap mineiro
1237,belgian dance
1238,gospel antigas
1239,chicago soul
1240,italian baroque
1241,oakland indie
1242,ecuadorian pop
1243,danish metal
1244,pop violin
1245,harlem hip hop
1246,bergamo indie
1247,israeli mediterranean
1248,pop virale italiano
1249,south african alternative
1250,psychedelic trance
1251,piseiro
1252,israeli rock
1253,dancehall queen
1254,nz reggae
1255,ghibli
1256,future funk
1257,black metal
1258,nerdcore brasileiro
1259,nashville hip hop
1260,newcastle nsw indie
1261,wave
1262,funky tech house
1263,bubble trance
1264,indiana hip hop
1265,argentine punk
1266,rap geek
1267,classic kollywood
1268,acoustic opm
1269,german alternative rock
1270,bhajan
1271,uk bass
1272,hopebeat
1273,classic turkish pop
1274,russian romanticism
1275,chihuahua indie
1276,brazilian indie
1277,irish folk
1278,guadalajara indie
1279,palm desert scene
1280,destroy techno
1281,indonesian worship
1282,russian post-punk
1283,minecraft
1284,midwest emo
1285,jovem guarda
1286,icelandic indie
1287,classic indo pop
1288,veracruz indie
1289,indie quebecois
1290,modern funk
1291,nursery
1292,lebanese pop
1293,transpop
1294,chillsynth
1295,rock gaucho
1296,australian children's music
1297,dinner jazz
1298,traphall
1299,german pop rock
1300,portland hip hop
1301,glee club
1302,swedish indie rock
1303,kazakh pop
1304,genshin
1305,violao
1306,dansband
1307,scottish new wave
1308,swedish jazz
1309,uk house
1310,boom bap brasileiro
1311,south african rock
1312,singaporean mandopop
1313,classic russian rock
1314,nashville singer-songwriter
1315,j-idol
1316,quebec indie
1317,classic colombian pop
1318,banda carnavalera
1319,turkish psych
1320,afrobeat
1321,seattle indie
1322,turkce kadin rap
1323,medieval folk
1324,gaming dubstep
1325,cumbia del sureste
1326,progressive metalcore
1327,volksmusik
1328,rocksteady
1329,french soundtrack
1330,manele
1331,romanian house
1332,j-indie
1333,boston indie
1334,french shoegaze
1335,funky house
1336,russian electronic
1337,salsa peruana
1338,swiss indie
1339,bc underground hip hop
1340,indian folk
1341,groove room
1342,barnsagor
1343,indie viet
1344,comedy rap
1345,okinawan pop
1346,classic israeli pop
1347,australian trap
1348,reggaeton cristiano
1349,indonesian lo-fi pop
1350,bergen indie
1351,lo-fi emo
1352,binaural
1353,musica gaucha tradicionalista
1354,cumbia sonorense
1355,psychedelic pop
1356,noise rock
1357,trap dominicano
1358,shibuya-kei
1359,sludge metal
1360,upstate ny rap
1361,canadian soundtrack
1362,dutch indie
1363,chilena
1364,space rock
1365,healing
1366,afghan pop
1367,ethnotronica
1368,nintendocore
1369,swedish hard rock
1370,contemporary post-bop
1371,washington indie
1372,disney piano
1373,scottish indie
1374,russian emo rap
1375,japanese punk rock
1376,instrumental grime
1377,afro house
1378,fnf
1379,old school dancehall
1380,lata
1381,chinese r&b
1382,uk dancehall
1383,chicago hardcore
1384,ethereal wave
1385,boston folk
1386,norwegian rock
1387,egyptian hip hop
1388,kayokyoku
1389,smooth saxophone
1390,progressive groove metal
1391,pianissimo
1392,bitpop
1393,nightcore
1394,cdo indie
1395,rock mineiro
1396,brutal death metal
1397,r&b argentino
1398,russian edm
1399,oyun havasi
1400,dark wave
1401,german metalcore
1402,australian alternative pop
1403,italian alternative
1404,electroclash
1405,canzone napoletana
1406,indonesian viral pop
1407,icelandic rock
1408,saskatchewan indie
1409,polish rock
1410,vaporwave
1411,minimal tech house
1412,kiwi rock
1413,opera metal
1414,indie rock mexicano
1415,danish pop rock
1416,drill italiana
1417,german indie folk
1418,canadian ccm
1419,czech folk
1420,belgian indie
1421,gothenburg indie
1422,japanese trap
1423,stomp and flutter
1424,new orleans jazz
